id,name,year,rural_pop,urban_pop
1,Chahal,2000,15005.0,0.0
2,Chisec,2000,192888.0,0.0
3,Cobán,2000,120762.0,39852.0
4,Fray Bartolomé de las Casas,2000,83325.0,0.0
5,Lanquín,2000,16371.0,0.0
6,Panzós,2000,77289.0,0.0
7,San Cristóbal Verapaz,2000,19025.0,0.0
8,San Juan Chamelco,2000,17743.0,0.0
9,San Pedro Carchá,2000,107476.0,12135.0
10,Santa Cruz Verapaz,2000,7879.0,0.0
11,Santa María Cahabón,2000,42946.0,0.0
12,Senahú,2000,27631.0,0.0
13,Tactic,2000,20266.0,0.0
14,Tamahú,2000,5149.0,0.0
15,Tucurú,2000,9585.0,0.0
16,Cubulco,2000,59560.0,0.0
17,Granados,2000,5901.0,0.0
18,Purulhá,2000,18489.0,0.0
19,Rabinal,2000,23785.0,0.0
20,Salamá,2000,43473.0,20653.0
21,San Jerónimo,2000,36364.0,0.0
22,San Miguel Chicaj,2000,16803.0,0.0
23,Santa Cruz El Chol,2000,3408.0,0.0
24,Acatenango,2000,11788.0,0.0
25,Chimaltenango,2000,1145.0,89718.0
26,Comalapa,2000,2207.0,14813.0
27,El Tejar,2000,3241.0,57742.0
28,Parramos,2000,2344.0,3231.0
29,Patzún,2000,26737.0,29872.0
30,Patzicía,2000,51379.0,571.0
31,Pochuta,2000,3277.0,0.0
32,San Andrés Itzapa,2000,10743.0,9764.0
33,San José Poaquil,2000,16346.0,0.0
34,San Martín Jilotepeque,2000,46785.0,1417.0
35,Santa Apolonia,2000,10799.0,0.0
36,Santa Cruz Balanyá,2000,5059.0,0.0
37,Tecpán Guatemala,2000,67858.0,179.0
38,Yepocapa,2000,7353.0,0.0
39,Zaragoza,2000,20151.0,5596.0
40,Camotán,2000,19483.0,0.0
41,Chiquimula,2000,30401.0,45005.0
42,Concepción Las Minas,2000,35210.0,0.0
43,Esquipulas,2000,53101.0,19381.0
44,Ipala,2000,36719.0,0.0
45,Jocotán,2000,20988.0,0.0
46,Olopa,2000,17869.0,0.0
47,Quezaltepeque,2000,27855.0,0.0
